分层维度,分层,模型,预测步长/小时,RMSE,MAE,R2,样本数
工况,原水突变,MoE,12,1.2526042400445407,0.5993039395528682,-0.07626570253106912,17
工况,矾量调整,季节朴素,2,1.3993186495315602,0.52,-1.0382718214439906,41
工况,矾量调整,机理专家,2,1.0317082616660147,0.39951136750918426,-0.10800742968819543,41
工况,矾量调整,LightGBM,2,0.9335637834082697,0.322091374653364,0.09277116178943601,41
工况,矾量调整,GRU,2,0.9885489765477812,0.42173228739965263,-0.01724423581047385,41
工况,矾量调整,MoE,2,0.9340081190137169,0.3353316745234699,0.09190735362844615,41
工况,矾量调整,季节朴素,4,1.262380639129411,0.424390243902439,0.07297548849906077,41
工况,矾量调整,机理专家,4,1.3727019784755976,0.48888658150448955,-0.09613257989568336,41
工况,矾量调整,LightGBM,4,1.2922578715499597,0.43139878052203473,0.028575752542576827,41
工况,矾量调整,GRU,4,1.3286336511596402,0.5216637373697468,-0.026883233241568938,41
工况,矾量调整,MoE,4,1.2900634542502634,0.4310620824302115,0.03187215377040997,41
工况,矾量调整,季节朴素,6,1.2563516674065116,0.435609756097561,0.09751826325025681,41
工况,矾量调整,机理专家,6,1.3827103368427476,0.4823536641157479,-0.09314657929773706,41
工况,矾量调整,LightGBM,6,1.3293995438970194,0.46551671906727626,-0.010478394006131486,41
工况,矾量调整,GRU,6,1.3482370220711994,0.502478386759758,-0.039318069761001384,41
工况,矾量调整,MoE,6,1.3157155041936437,0.43504857880313225,0.010217055933625763,41
工况,矾量调整,季节朴素,8,1.1449688460986986,0.39292682926829264,0.2102428991270756,41
工况,矾量调整,机理专家,8,1.347922604119164,0.47367461631610513,-0.09455127742458846,41
工况,矾量调整,LightGBM,8,1.3068038481132986,0.44448454552483785,-0.028790650639905824,41
工况,矾量调整,GRU,8,1.3042542239707147,0.48077133456381355,-0.02478014719817412,41
工况,矾量调整,MoE,8,1.286237168603862,0.4319431953023119,0.003337059029459799,41
工况,矾量调整,季节朴素,10,1.2275684869871426,0.4446341463414634,0.024217747439589155,41
工况,矾量调整,机理专家,10,1.3005448001057764,0.4702709469354821,-0.0952470365766529,41
工况,矾量调整,LightGBM,10,1.2722521694992837,0.4671442006907549,-0.04811238537097018,41
工况,矾量调整,GRU,10,1.2685873434205472,0.4904248316113542,-0.0420827360246514,41
工况,矾量调整,MoE,10,1.248438899772056,0.432208378722028,-0.009243677217072976,41
工况,矾量调整,季节朴素,12,1.2710126556142969,0.4634146341463415,-0.06458187762106626,41
工况,矾量调整,机理专家,12,1.2894946044297666,0.4692050780813846,-0.09576740507424453,41
工况,矾量调整,LightGBM,12,1.2194986336110025,0.4719433064857361,0.0199641666960928,41
工况,矾量调整,GRU,12,1.2196437533305502,0.4741831767413675,0.019730905282656308,41
工况,矾量调整,MoE,12,1.206554957238933,0.4389360189728621,0.04065782887581626,41
